function,asize,aptr,rptr
malloc,32,,0x23a364a0
malloc,32,,0x23a364f0
malloc,32,,0x23a36540
malloc,32,,0x23a36590
malloc,32,,0x23a365e0
malloc,32,,0x23a36630
malloc,32,,0x23a36680
malloc,32,,0x23a366d0
malloc,32,,0x23a36720
malloc,32,,0x23a36770
malloc,32,,0x23a367c0
malloc,32,,0x23a36810
malloc,32,,0x23a36860
malloc,32,,0x23a368b0
malloc,32,,0x23a36900
malloc,32,,0x23a36950
malloc,32,,0x23a369a0
malloc,32,,0x23a369f0
malloc,32,,0x23a36a40
malloc,32,,0x23a36a90
malloc,32,,0x23a36ae0
malloc,32,,0x23a36b30
malloc,32,,0x23a36b80
malloc,32,,0x23a36bd0
malloc,32,,0x23a36c20
malloc,32,,0x23a36c70
malloc,32,,0x23a36cc0
malloc,32,,0x23a36d10
malloc,32,,0x23a36d60
malloc,32,,0x23a36db0
malloc,32,,0x23a36e00
malloc,32,,0x23a36e50
malloc,32,,0x23a36ea0
malloc,32,,0x23a36ef0
malloc,32,,0x23a36f40
malloc,32,,0x23a36f90
malloc,32,,0x23a36fe0
malloc,32,,0x23a37030
malloc,32,,0x23a37080
malloc,32,,0x23a370d0
malloc,32,,0x23a37120
malloc,32,,0x23a37170
malloc,32,,0x23a371c0
malloc,32,,0x23a37210
malloc,16384,,0x23a37260
free,8192,0x23a31250,
malloc,32,,0x23a31250
malloc,32,,0x23a31280
malloc,32,,0x23a312d0
malloc,32,,0x23a31320
malloc,32,,0x23a31370
malloc,32,,0x23a313c0
malloc,32,,0x23a31410
malloc,32,,0x23a31460
malloc,32,,0x23a314b0
malloc,32,,0x23a31500
malloc,32,,0x23a31550
malloc,32,,0x23a315a0
malloc,32,,0x23a315f0
malloc,32,,0x23a31640
malloc,32,,0x23a31690
malloc,32,,0x23a316e0
malloc,32,,0x23a31730
malloc,32,,0x23a31780
malloc,32,,0x23a317d0
malloc,32,,0x23a31820
malloc,32,,0x23a31870
malloc,32,,0x23a318c0
malloc,32,,0x23a31910
malloc,32,,0x23a31960
malloc,32,,0x23a319b0
malloc,32,,0x23a31a00
malloc,32,,0x23a31a50
malloc,32,,0x23a31aa0
malloc,32,,0x23a31af0
malloc,32,,0x23a31b40
malloc,32,,0x23a31b90
malloc,32,,0x23a31be0
malloc,32,,0x23a31c30
malloc,32,,0x23a31c80
malloc,32,,0x23a31cd0
malloc,32,,0x23a31d20
malloc,32,,0x23a31d70
malloc,32,,0x23a31dc0
malloc,32,,0x23a31e10
malloc,32,,0x23a31e60
malloc,32,,0x23a31eb0
malloc,32,,0x23a31f00
malloc,32,,0x23a31f50
malloc,32,,0x23a31fa0
malloc,32,,0x23a31ff0
malloc,32,,0x23a32040
malloc,32,,0x23a32090
malloc,32,,0x23a320e0
malloc,32,,0x23a32130
malloc,32,,0x23a32180
malloc,32,,0x23a321d0
malloc,32,,0x23a32220
malloc,32,,0x23a32270
malloc,32,,0x23a322c0
malloc,32,,0x23a32310
malloc,32,,0x23a32360
malloc,32,,0x23a323b0
malloc,32,,0x23a32400
malloc,32,,0x23a32450
malloc,32,,0x23a324a0
malloc,32,,0x23a324f0
malloc,32,,0x23a32540
malloc,32,,0x23a32590
malloc,32,,0x23a325e0
malloc,32,,0x23a32630
malloc,32,,0x23a32680
malloc,32,,0x23a326d0
malloc,32,,0x23a32720
malloc,32,,0x23a32770
malloc,32,,0x23a327c0
malloc,32,,0x23a32810
malloc,32,,0x23a32860
malloc,32,,0x23a328b0
malloc,32,,0x23a32900
malloc,32,,0x23a32950
malloc,32,,0x23a329a0
malloc,32,,0x23a329f0
malloc,32,,0x23a32a40
malloc,32,,0x23a32a90
malloc,32,,0x23a32ae0
malloc,32,,0x23a32b30
malloc,32,,0x23a32b80
malloc,32,,0x23a32bd0
malloc,32,,0x23a32c20
malloc,32,,0x23a32c70
malloc,32,,0x23a32cc0
malloc,32,,0x23a32d10
malloc,32,,0x23a32d60
malloc,32,,0x23a32db0
malloc,32,,0x23a32e00
malloc,32,,0x23a32e50
malloc,32,,0x23a32ea0
malloc,32,,0x23a32ef0
malloc,32,,0x23a32f40
malloc,32,,0x23a32f90
malloc,32,,0x23a32fe0
malloc,32,,0x23a33030
malloc,32,,0x23a33080
malloc,32,,0x23a330d0
malloc,32,,0x23a33120
malloc,32,,0x23a33170
malloc,32,,0x23a331c0
malloc,32,,0x23a33210
malloc,32,,0x23a3b290
malloc,32,,0x23a3b2e0
malloc,32,,0x23a3b330
malloc,32,,0x23a3b380
malloc,32,,0x23a3b3d0
malloc,32,,0x23a3b420
malloc,32,,0x23a3b470
malloc,32,,0x23a3b4c0
malloc,32,,0x23a3b510
malloc,32,,0x23a3b560
malloc,32,,0x23a3b5b0
malloc,32,,0x23a3b600
malloc,32,,0x23a3b650
malloc,32,,0x23a3b6a0
malloc,32,,0x23a3b6f0
malloc,32,,0x23a3b740
malloc,32,,0x23a3b790
malloc,32,,0x23a3b7e0
malloc,32,,0x23a3b830
malloc,32,,0x23a3b880
malloc,32,,0x23a3b8d0
malloc,32,,0x23a3b920
malloc,32,,0x23a3b970
malloc,32,,0x23a3b9c0
malloc,32,,0x23a3ba10
malloc,32,,0x23a3ba60
malloc,32,,0x23a3bab0
malloc,32,,0x23a3bb00
malloc,32,,0x23a3bb50
malloc,32,,0x23a3bba0
malloc,32,,0x23a3bbf0
